Revision longitud x2.0 — pendientes: 215 keys
========================================================================================================================
Key                                                            EN                                 ES                                               Ratio
------------------------------------------------------------------------------------------------------------------------
global_terminal_logout_001                                     Logout                             Cerrar sesion                                    2.17
interaction_condition_exitSeat                                 Exit Seat                          Bajarse del asiento                              2.11
mg_battaglia_escort_scan_marker_02a                            Nav Point                          Punto de navegacion                              2.11
DXSM_SSCV_AEGS_OEM_UI_Systems_Comms_Jammed,P                   Comm Error                         Error de comunicacion                            2.10
item_NameFood_burger_wham_01_a                                 Whamburger                         Whamburger de ternera                            2.10
mg_ruto_spacecargo_illegal_obj_short_02                        Grab Stuff                         Recoger el cargamento                            2.10
mobiGlas_ui_personalstatus_BloodDrugLevelShort,P               Drug Level                         Nivel de medicamentos                            2.10
mobiglas_CharlieStation_Server_Records_title                   Server Log                         Registro del servidor                            2.10
Maps_Quantum_NotInShip,P                                       Need ship for routing              Se necesita una nave para planificar la ruta     2.10
DXSH_MCCV_INDI_SM_Outlaw_Grenade_Warning_01,P                  Frag! Frag!                        ¡Granadero! ¡Granadero!                          2.09
dfm_ac_ui_MessageMatchFound                                    Match found                        Coincidencia encontrada                          2.09
ea_ui_screens_crossroads_target_radar                          Comms Radar                        Radar de comunicaciones                          2.09
item_NameDefault_FuelIntake                                    Fuel Intake                        Admision de combustible                          2.09
item_TypeFuelNozzle                                            Fuel Nozzle                        Inyector de combustible                          2.09
jump_point_size_check                                          Size Check:                        Verificacion de Tamaño:                          2.09
mg_miles_planetcollect_drug_title_0004                         Courier gig                        Concierto de mensajeria                          2.09
mg_ruto_planetcollect_drug_title_0004                          courier gig                        concierto de mensajeria                          2.09
port_NameFuelTank01                                            Fuel Tank 1                        Tanque de Combustible 1                          2.09
port_NameFuelTank02                                            Fuel Tank 2                        Tanque de Combustible 2                          2.09
port_NameFuelTank03                                            Fuel Tank 3                        Tanque de Combustible 3                          2.09
port_NameFuelTank04                                            Fuel Tank 4                        Tanque de Combustible 4                          2.09
port_NameFuelTank05                                            Fuel Tank 5                        Tanque de Combustible 5                          2.09
refueling_ui_FuelTank_A                                        Fuel Tank A                        Tanque de combustible A                          2.09
refueling_ui_FuelTank_B                                        Fuel Tank B                        Tanque de combustible B                          2.09
refueling_ui_PopUp_Aborted                                     Refueling was aborted.             El abastecimiento de combustible fue abortado.   2.09
refueling_ui_Price_Title                                       Fuel Prices                        Precios del combustible                          2.09
shop_name_lawlessshipdealer                                    Ship Dealer                        Tienda de Naves Sin Ley                          2.09
text_ui_template_footer                                        Footer text                        Texto del pie de pagina                          2.09
ui_CIEVAStrafeDown                                             Strafe Down                        Desplazarse hacia abajo                          2.09
ui_controlhint_stabilize                                       Hold Breath                        Aguantar la respiracion                          2.09
DXSM_SSCV_CRUS_OEM_UI_Proximity_Port,P                         Alert: Port Crash Close            Alerta: Colision en el lado de izquierda proxi   2.09
DXSM_SSCV_CNOU_OEM_UI_Systems_Lifesupport,P                    Life Systems                       Sistemas de soporte vital                        2.08
DeadSaints_RecoverCargo_Medium_Title                           Retrieval Op                       Operacion de Recuperacion                        2.08
NorthRock_Delivery_Local_DerelictOutpost_Title_01              Retrieval Op                       Operacion de recuperacion                        2.08
ShipSelector_landing_pad                                       Landing Pad:                       Plataforma de Aterrizaje:                        2.08
innerthought_grimhex_elevator_top                              Landing Pads                       Plataformas de aterrizaje                        2.08
interaction_open_storage                                       Open Storage                       Almacenamiento de la nave                        2.08
pause_OptionsHeadtrackingSourceDebug                           Debug Device                       Dispositivo de depuracion                        2.08
pit_status_DrugMasking                                         Drug Masking                       Enmascaramiento de drogas                        2.08
ui_v_weapon_pip_set_lag                                        Set Lag PIPs                       Establecer PIP de retraso                        2.08
PU_PATRON1_M_CP_Chat_ProcConvo_BlueCollar_Question_IG_001_HowWasWork How was work?                      ¿Como te fue en el trabajo?                      2.08
dfm_ac_ui_MessageNoServer                                      No host found                      Ningun anfitrion encontrado                      2.08
item_DescMISC_FuelPod,P                                        MISC Fuel Pod                      Capsula de combustible MISC                      2.08
item_Mining_MiningSack_DRAK_Name                               Drake Ore Pod                      Contenedor de Mineral Drake                      2.08
item_name_GhostArena_Keycard_02                                Crypt Keycard                      Tarjeta Clave Criptografica                      2.08
ui_PortLockAll                                                 Port Lock All                      Bloquear todos los anclajes                      2.08
ItemGathering_ASD_Specimen_Name                                ASD Lab Sample                     Muestra de Laboratorio de ASD                    2.07
outpost_repair_title_0001                                      Outpost Repair                     Reparacion de puesto avanzado                    2.07
ui_COTurretAimYaw                                              Turret Aim Yaw                     Apuntar con torreta (guiñada)                    2.07
ui_applyChanges                                                Apply Changes?                     ¿Quieres aplicar los cambios?                    2.07
itemPort_hardpoint_blade_wing_left                             Ramming Blade -                    Cuchilla embestidora: izquierda                  2.07
item_Name_hdh_shirt_01_01_16                                   Samya Tank Moss                    Camiseta de Tirantes Samya Moss                  2.07
ui_CIThrustMax                                                 Thrust Max Snap                    Aceleracion max. de propulsores                  2.07
ui_CIThrustMin                                                 Thrust Min Snap                    Aceleracion min. de propulsores                  2.07
PU_RUTO_MG_MissionBriefs_CommArray_Generic_IG_001_GotAComm     Got a comm array job available.    Tengo un trabajo disponible para una estacion    2.06
respawn_hud_reset                                              ICU Preference Reset to Default    Preferencia de la UCI restablecida a los valor   2.06
ui_error_message_70007                                         Backend runtime check violation    Infraccion en la verificacion en tiempo de eje   2.06
FW2022_TransferScreen_Fluff_Filename_74                        Imprint Concerns                   Preocupaciones sobre la impresion                2.06
refueling_ui_FuelTank_Title                                    Fuel Pod Summary                   Resumen del tanque de combustible                2.06
ui_co_eva_move_strafe_vertical                                 Strafe Up / Down                   Desplazamiento hacia arriba/abajo                2.06
comm_ArrayOnline                                               Comm Array Online                  Satelite de comunicaciones en linea              2.06
mission_location_stanton_0300                                  Landing Pad Locker                 Casillero de Plataforma de Aterrizaje            2.06
refueling_ui_General_AmountFuel                                Select Fuel Amount                 Selecciona la cantidad de combustible            2.06
DXSM_SSCV_DRAK_OEM_UI_Proximity_Deck,P                         Deck Impact Warning                Advertencia de impacto en zona inferior          2.05
pause_OptionsGForceHeadBobAdsModifier                          G-Force Induced Head-Bob - ADS M   Balanceo de Cabeza Inducido por Fuerzas G - Mo   2.05
ui_mfd_config_ifcs_precision_mode                              Enable Auto Slowdown               Activar Reduccion Automatica de Velocidad        2.05
pause_OptionsShowContactDistance                               Show Contact Distance              Mostrar distancia de personas (party/grupo)      2.05
Salvage_Ship_Component_Ground_Vehicle_Ore_Pod_Name             Ground Vehicle Ore Pod             Contenedor de Mineral para vehiculo Terrestre    2.05
DataHeist_Obj_02b_FindAccessCard_Short,P                       Loot an ID access card.            Saquea una tarjeta de acceso de identificacion   2.04
